Hackathon,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments,Gallery URL
Milpitas Hacks 2.0,milpitas-hacks-2,ODY,"ODY makes coding feel like a game. Track commits, earn XP, level up, and see consistent progress. Stay motivated and celebrate growth. It's like working out, but for your coding skills.",https://devpost.com/software/ody,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,CallSense,"AI-powered 911 call analysis providing real-time summaries, severity scores, and agency routing to help dispatchers make faster, more informed decisions.",https://devpost.com/software/callsense-jo4hg3,1,2,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Cascade,"Cascade connects disaster survivors with volunteers based on location, urgency, and skills—enabling fast, community-driven aid, allowing all to help-no matter how much or how little someone can offer.",https://devpost.com/software/cascade-4kyna9,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Book Finder Game,Hi,https://devpost.com/software/book-finder-game,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,BeGood,Post a picture of you doing something good everyday,https://devpost.com/software/begood-0pgmow,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Halo,"""See the Injustice. Act for Change.""Map pollution and poverty. Mobilize for climate justice.",https://devpost.com/software/halo-e7y3k4,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,adsfgf,adsfdgf,https://devpost.com/software/adsfgf,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,SafeRouter,"This is a website that will allow you to find safe routes when traveling, avoiding places with high crime.",https://devpost.com/software/saferouter,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Write Knight,"Fun typing game for all ages, awww yeaaa!!",https://devpost.com/software/write-knight,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Aura AI,"Detect your emotional State based on an Image, AI/ML powered",https://devpost.com/software/aura-ai-yt7zjg,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,KnowMyRights,"Laws can be different in every state, and most people don’t know what their rights are. Our site gives answers about what you can and can’t do especially in situations like protests or police stops.",https://devpost.com/software/knowmyrights,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Beacon,A light in the chaos.,https://devpost.com/software/beacon-pqvh3a,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,CrossRoads,"A news outlet crossed with a social media platform, specifically designed with the spread of local cultures and news in mind.",https://devpost.com/software/crossroads-s6234n,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Resq,Using AI to save lives. Easy to use for rescuers and rescuees.,https://devpost.com/software/resq-p9ends,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Study Swap,Being a student is hard. But it's better knowing you're not alone—thousands of upperclassman before you have also suffered. This platform allows transfer of valuable knowledge to underclassmen.,https://devpost.com/software/study-swap,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,AI travel planner,"Have you ever realized about why is everything AI-dedicated, except for travel planning? Well, erase that question from your mind, because, even now, that is also using AI now.",https://devpost.com/software/ai-travel-planner,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,News Buddies,News Buddies provides an accessible way for youth to consume news without being overloaded by the complicated text and terms that modern articles have.,https://devpost.com/software/news-buddies-abok9r,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,HumanX,Therapy AI for everyone,https://devpost.com/software/humanx-n4dy1k,1,0,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Safe-Spot,"SafeSpot is a mobile app that detects nearby natural disasters and calculates a 1–100 severity score using distance, hazard type, wind speed, elevation, and time of day.",https://devpost.com/software/safe-spot-t9vy7m,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Intellectra,"Intellectra helps you learn anytime, anywhere—using your voice, your language, and simple AI-powered explanations. No fear, no limits.",https://devpost.com/software/intellectra,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Break Task,Break Task: a to-do website that incorporates game features to motivate users to achieve productivity,https://devpost.com/software/break-task,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,EquiHire,"EquiHire is a platform that detects and prevents hiring bias using AI, allowing for more inclusive and equitable job opportunities. Our tools use AI to analyze job descriptions for biased language.",https://devpost.com/software/equihire-st3rxk,1,1,0,https://milpitas-hacks-2.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,GridLocked,The innovative power grid simulation to optimize the aging US energy system!,https://devpost.com/software/gridlocked,1,3,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,BagFinder,Track down lost bags in seconds,https://devpost.com/software/bagfinder,1,2,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,DaWaze - The Routing Game,A fun game to challenge your navigational and routing skills while seeing the roads of the world!,https://devpost.com/software/dawaze-the-routing-game,1,2,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Galactic Express,Futuristic prime delivery for when humanity is living in space.,https://devpost.com/software/galactic-express,1,2,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Routing Ridge,"This is a ""google maps"" for Ridge High School. The user can input any two points on a map of Ridge High School, and ""Routing Ridge"" will output the shortest path between the two points.",https://devpost.com/software/routing-ridge,1,1,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Routify,Take the route of safety.,https://devpost.com/software/routify-womqgh,1,5,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Medigo,"MediGo assist immobile and patients like the elderly to access critical health goods making medicine mobile and accessible focusing on, last mile delivery",https://devpost.com/software/medigo-j76pfw,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,LogMap,"LogMap 3.0 ingests six days of real AIS data, filters to your region, builds a graph of vessel movements, simulates “what-if” climate scenarios, makes new routes, and more. Read the README please.",https://devpost.com/software/logmap,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Escape the Past,"Race Through Time by Mastering Transportation Trivia!""",https://devpost.com/software/escape-the-past,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Carpool Application,Save time. Save energy. Carpool. Kachow!,https://devpost.com/software/rhythm-game-18twij,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Gas Price Projection Estimator,Our project is a model that predicts gas prices using machine learning. Our project will allow people to know whether they are being charged the appropriate amount of gas.,https://devpost.com/software/gas-price-projection-estimater,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Next Stop,"This project is an informative game about different methods of transportation, It goes on a funny and enjoyable story that helps people learn about transportation.",https://devpost.com/software/next-stop-t89n7d,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Virtual Relaxation Airplane,a virtual airplane website that transports you to a relaxing place,https://devpost.com/software/virtual-relaxation-airplane,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Subway Rewards Program,Subway Rewards Program is a web application that helps keep the world a little bit more cleaner,https://devpost.com/software/subway-rewards-program,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,FlyIt,An easy way to get from Point A to Point B. Use to find the fastest and easiest routes from any airport.,https://devpost.com/software/flyit,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Traffic dodger,this is a game where you dodge cars and collect coins,https://devpost.com/software/traffic-dodger,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Delivery Game,You deliver packages to the store before time runs out,https://devpost.com/software/delivery-game,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Transport of CRISPR Systems in Gene Editing for Sickle Cell,Simulation of editing the original mutation and examining effects and efficiency in the bloodstream.,https://devpost.com/software/transport-of-crispr-systems-in-gene-editing-for-sickle-cell,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,CarMod,"CarMod is a website that allows you to input any car, and provides statistics and modifications for the specific car.",https://devpost.com/software/modmonkey,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Platformer Transporter,The game consists of two levels where the user controls the package (the white square) and tries to reach the golden block on the other side without touching the lava. The game also includes physics.,https://devpost.com/software/platformer-transporter,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Whispr,"An AI-assisted knowledge exchange platform where users leave behind like audio ""whispers"" (voice memos, thoughts, lessons, stories) that are tagged by location, mood, and topic",https://devpost.com/software/whispr-sf54tl,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Sheet Music Writer,Did you know the audio cortex of the brain is about the same size as the visual cortex. This project seeks to transport our understanding of music to a new dimension.,https://devpost.com/software/sheet-music-writer,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Fastest route finder,I created a GPS tracker which would find the fastest route to get from point A to point B. I also included a fun little easter egg,https://devpost.com/software/fastest-route-finder,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
RidgeHacks 2025,ridgehacks-2025,Traffy Data Collector,It collects traffic data.,https://devpost.com/software/transportation-traffic-data,1,0,0,https://ridgehacks-2025.devpost.com/project-gallery
